,Data,Page Title,Type Of Data
33,"The team started thinking of replacing C++ with a better version, a faster version, a responsive version. But the one thing they hadn't thought of, as of yet, was that the language they were aiming for had to be developed for an embedded system with limited resources. An embedded system is a computer system scaled to a minimalistic interface demanding only a few functions from its design. For such a system, C++ or any successor would seem too large as all the languages at the time demanded a larger footprint than what was desired. The team thus had to think in a different way to go about solving all these problems.
",Reshaping thought[edit],plain_text
34,"Co-founder of Sun Microsystems, Bill Joy, envisioned a language combining the power of Mesa and C in a paper named Further he wrote for the engineers at Sun. Gathering ideas, Gosling began work on enhancing C++ and named it ""C++ ++ --"", a pun on the evolutionary structure of the language's name. The ++ and -- meant, putting in and taking out stuff. He soon abandoned the name and called it Oak[1] after the tree that stood outside his office.
",Reshaping thought[edit],plain_text
35,,"The demise of an idea, birth of another[edit]",
36,"By now, the work on Oak had been significant but come the year 1993, people saw the demise of set-top boxes, interactive TV and the PDAs. A failure that completely ushered the inventors' thoughts to be reinvented. Only a miracle could make the project a success now. And such a miracle awaited anticipation.
","The demise of an idea, birth of another[edit]",plain_text
37,"National Center for Supercomputing Applications (NCSA) had just unveiled its new commercial web browser for the internet the previous year. The focus of the team, now diverted towards where they thought the ""next-wave"" of computing would be — the internet. The team then divulged into the realms of creating the same embeddable technology to be used in the web browser space calling it an applet — a small application. Keeping all of this in mind, the team created a list of features tackling the C++ problems. In their opinion, the project should ...
","The demise of an idea, birth of another[edit]",plain_text
38,".. be simple and gather tested fundamentals and features from the earlier languages in it,
.. have standard sets of APIs with basic and advanced features bundled with the language,
.. get rid of concepts requiring direct manipulation of hardware (in this case, memory) to make the language safe,
.. be platform independent and may written for every platform once (giving birth to the WORA idiom),
.. be able to manipulate network programming out-of-the-box,
.. be embeddable in web browsers, and ...
.. have the ability for a single program to multi-task and do multiple things at the same time.","The demise of an idea, birth of another[edit]",plain_text
39,"The team now needed a proper identity and they decided on naming the new technology they created Java ushering a new generation of products for the internet boom. A by-product of the project was a cartoon named ""Duke"" created by Joe Parlang which became its identity then.
","The demise of an idea, birth of another[edit]",plain_text
40,"Finally at the SunWorldTM conference, Andreesen unveiled the new technology to the masses. Riding along with the explosion of interest and publicity in the Internet, Java quickly received widespread recognition and expectations grew for it to become the dominant software for browser and consumer applications.[2]
","The demise of an idea, birth of another[edit]",plain_text
41,"Initially Java was owned by Sun Microsystems, but later it was released to open source; the term Java was a trademark of Sun Microsystems. Sun released the source code for its HotSpot Virtual Machine and compiler in November 2006, and most of the source code of the class library in May 2007. Some parts were missing because they were owned by third parties, not by Sun Microsystems. The released parts were published under the terms of the GNU General Public License, a free software license.
","The demise of an idea, birth of another[edit]",plain_text
42,,Versions[edit],
43,"Unlike C and C++, Java's growth is pretty recent. Here, we'd quickly go through the development paths that Java took with age.
",Versions[edit],plain_text
44,"Introduced in 1996 for the Solaris, Windows, Mac OS Classic and Linux, Java was initially released as the Java Development Kit 1.0 (JDK 1.0). This included the Java runtime (the virtual machine and the class libraries), and the development tools (e.g., the Java compiler). Later, Sun also provided a runtime-only package, called the Java Runtime Environment (JRE). The first name stuck, however, so usually people refer to a particular version of Java by its JDK version (e.g., JDK 1.0).
",Versions[edit],plain_text
45,"Introduced in 1998 as a quick fix to the former versions, version 1.2 was the start of a new beginning for Java. The JDKs of version 1.2 and later versions are often called Java 2 as well. For example, the official name of JDK 1.4 is The Java(TM) 2 Platform, Standard Edition version 1.4.
",Versions[edit],plain_text
46,"Released in 8 May 2000. The most notable changes were:
",Versions[edit],plain_text
47,"HotSpot JVM included (the HotSpot JVM was first released in April, 1999 for the J2SE 1.2 JVM)
RMI was modified to support optional compatibility with CORBA
JavaSound
Java Naming and Directory Interface (JNDI) included in core libraries (previously available as an extension)
Java Platform Debugger Architecture (JPDA)
Synthetic proxy classes",Versions[edit],plain_text
48,"Released in 6 February 2002, Java 1.4 has improved programmer productivity by expanding language features and available APIs:
",Versions[edit],plain_text
49,"Assertion
Regular Expression
XML processing
Cryptography and Secure Socket Layer (SSL)
Non-blocking I/O (NIO)
Logging",Versions[edit],plain_text
50,"Released in September 2004
",Versions[edit],plain_text
51,"Released on 11 December 2006.
",Versions[edit],plain_text
52,"What's New in Java SE 6:
",Versions[edit],plain_text
53,Web Services - First-class support for writing XML web service client applications.,Versions[edit],plain_text
54,"Scripting - You can now mix in JavaScript technology source code, useful for prototyping. Also useful when you have teams with a variety of skill sets. More advanced developers can plug in their own scripting engines and mix their favorite scripting language in with Java code as they see fit.",Versions[edit],plain_text
55,"Database - No more need to find and configure your own JDBC database when developing a database application. Developers will also get the updated JDBC 4.0, a well-used API with many important improvements, such as special support for XML as an SQL datatype and better integration of Binary Large OBjects (BLOBs) and Character Large OBjects (CLOBs) into the APIs.",Versions[edit],plain_text
56,"More Desktop APIs - GUI developers get a large number of new tricks to play like the ever popular yet newly incorporated SwingWorker utility to help you with threading in GUI apps, JTable sorting and filtering, and a new facility for quick splash screens to quiet impatient users.",Versions[edit],plain_text
57,Monitoring and Management - The really big deal here is that you don't need to do anything special to the startup to be able to attach on demand with any of the monitoring and management tools in the Java SE platform.,Versions[edit],plain_text
58,"Compiler Access - Really aimed at people who create tools for Java development and for frameworks like JavaServer Pages (JSP) or Personal Home Page construction kit (PHP) engines that need to generate a bunch of classes on demand, the compiler API opens up programmatic access to javac for in-process compilation of dynamically generated Java code. The compiler API is not directly intended for the everyday developer, but for those of you deafened by your screaming inner geek, roll up your sleeves and give it a try. And the rest of us will happily benefit from the tools and the improved Java frameworks that use this.",Versions[edit],plain_text
59,"Pluggable Annotations allows programmer to write annotation processor so that it can analyse your code semantically before javac compiles. For example, you could write an annotation processor that verifies whether your program obeys naming conventions.",Versions[edit],plain_text
60,"Desktop Deployment - At long last, Java SE 6 unifies the Java Plug-in technology and Java WebStart engines, which just makes sense. Installation of the Java WebStart application got a much needed makeover.",Versions[edit],plain_text
61,"Security - Java SE 6 has simplified the job of its security administrators by providing various new ways to access platform-native security services, such as native Public Key Infrastructure (PKI) and cryptographic services on Microsoft Windows for secure authentication and communication, Java Generic Security Services (Java GSS) and Kerberos services for authentication, and access to LDAP servers for authenticating users.",Versions[edit],plain_text
62,"The -lities: Quality, Compatibility, Stability - Bug fixes ...",Versions[edit],plain_text
63,"Released on 28 July 2011.
",Versions[edit],plain_text
64,"Feature additions for Java 7 include:
",Versions[edit],plain_text
65,"JVM support for dynamic languages, following the prototyping work currently done on the Multi Language Virtual Machine
Compressed 64-bit pointers Available in Java 6 with -XX:+UseCompressedOops
Small language changes (grouped under a project named Coin):",Versions[edit],plain_text
66,"Concurrency utilities under JSR 166
New file I/O library to enhance platform independence and add support for metadata and symbolic links. The new packages are java.nio.file and java.nio.file.attribute
Library-level support for Elliptic curve cryptography algorithms
An XRender pipeline for Java 2D, which improves handling of features specific to modern GPUs
New platform APIs for the graphics features originally planned for release in Java version 6u10
Enhanced library-level support for new network protocols, including SCTP and Sockets Direct Protocol
Upstream updates to XML and Unicode",Versions[edit],plain_text
67,"Lambda (Java's implementation of lambda functions), Jigsaw (Java's implementation of modules), and part of Coin were dropped from Java 7.
",Versions[edit],plain_text
68,"Java 8 was released on 18 March 2014, and included some features that were planned for Java 7 but later deferred.
",Versions[edit],plain_text
69,"Work on features was organized in terms of JDK Enhancement Proposals (JEPs).
",Versions[edit],plain_text
70,"JSR 335, JEP 126: Language-level support for lambda expressions (officially, lambda expressions; unofficially, closures) under Project Lambda which allow the addition of methods to interfaces without breaking existing implementations. There was an ongoing debate in the Java community on whether to add support for lambda expressions. Supporting lambda expressions also allows the performance of  functional-style operations on streams of elements, such as MapReduce-inspired transformations on collections. Default methods allow an author of an API to add new methods to an interface without breaking the old code using it. Although it was not their primary intent, default methods also allow multiple inheritance of behavior (but not state).",Versions[edit],plain_text
71,"JSR 223, JEP 174: Project Nashorn, a JavaScript runtime which allows developers to embed JavaScript code within applications
JSR 308, JEP 104: Annotation on Java Types
Unsigned Integer Arithmetic
JSR 337, JEP 120: Repeating annotations
JSR 310, JEP 150: Date and Time API
JEP 178: Statically-linked JNI libraries
JEP 153: Launch JavaFX applications (direct launching of JavaFX application JARs)
JEP 122: Remove the permanent generation",Versions[edit],plain_text
72,,References[edit],
73,"
",References[edit],plain_text
74,"The new features and upgrades included into Java changed the face of programming environment and gave a new definition to Object Oriented Programming (OOP in short). But unlike its predecessors, Java needed to be bundled with standard functionality and be independent of the host platform.
",Overview of the Java programming language,plain_text
75,"The primary goals in the creation of the Java language:
",Overview of the Java programming language,plain_text
76,"It is simple.
It is object-oriented.
It is independent of the host platform.
It contains language facilities and libraries for networking.
It is designed to execute code from remote sources securely.",Overview of the Java programming language,plain_text
77,"The Java language introduces some new features that did not exist in other languages like C and C++.
",Overview of the Java programming language,plain_text
78,,Object orientation[edit],
79,"Object orientation (""OO"") refers to a method of programming and language technique. The main idea of OO is to design software around the ""things"" (i.e. objects) it manipulates, rather than the actions it performs.
",Object orientation[edit],plain_text
80,"As the hardware of the computer advanced, it brought about the need to create better software techniques to be able to create ever increasing complex applications.
The intent is to make large software projects easier to manage, thus improving quality and reducing the number of failed projects.
Object oriented solution is the latest software technique.
",Object orientation[edit],plain_text
81,,Platform dependence[edit],
82,"In C or C++ programming, you start to write a source code:



",Platform dependence[edit],plain_text
83,"... you compile it to a machine code file:




",Platform dependence[edit],plain_text
84,"... and then you execute it:





",Platform dependence[edit],plain_text
85,"In this situation, the machine code file and its execution are specific to the platform (Windows, Linux, Mac OS, ...) it was compiled for, that is to say to the targeted platform:
",Platform dependence[edit],plain_text
86,"
",Platform dependence[edit],plain_text
87,"... because the compiled file is a machine code file designed to work on a specific platform and hardware. It would have produced a different results/output for another platform. So if you want your program to run on several platforms, you have to compile your program several times:
",Platform dependence[edit],plain_text
88,"It poses greater vulnerability risks. Note here that when a certain code is compiled into an executable format, the executable cannot be changed dynamically. It would need to be recompiled from the changed code for the changes to be reflected in the finished executable. Modularity (dividing code into modules) is not present in Java's predecessors. If instead of a single executable, the output application was in the form of modules, one could easily change a single module and review changes in the application. In C/C++ on the other hand, a slight change in code required the whole application to be recompiled.
",Platform dependence[edit],plain_text
89,"The idea of Java is to compile the source code into an intermediate language that will be interpreted.
",Platform dependence[edit],plain_text
90,"The intermediate language is the byte code. The interpreter is the Java Virtual Machine (JVM). The byte code file is universal and the JVM is platform specific:
",Platform dependence[edit],plain_text
91,"So a JVM should be coded for each platform. And that's the case. So you just have to generate a unique byte code file (a .class file).
",Platform dependence[edit],plain_text
92,"The first implementations of the language used an interpreted virtual machine to achieve portability, and many implementations still do. These implementations produce programs that run more slowly than the fully-compiled programs created by the typical C++ compiler, so the language suffered a reputation for producing slow programs. Since Java 1.2, Java VM produces programs that run much faster, using multiple techniques.
",Platform dependence[edit],plain_text
93,"The first of these is to simply compile directly into native code like a more traditional compiler, skipping bytecode entirely. This achieves great performance, but at the expense of portability. This is not really used any more.
",Platform dependence[edit],plain_text
94,"Another technique, the just-in-time (JIT) compiler, compiles the Java bytecode into native code at the time the program is run, and keep the compiled code to be used again and again.  More sophisticated VMs even use dynamic recompilation, in which the VM can analyze the behavior of the running program and selectively recompile and optimize critical parts of the program.  Both of these techniques allow the program to take advantage of the speed of native code without losing portability.
",Platform dependence[edit],plain_text
95,"Portability is a technically difficult goal to achieve, and Java's success at that goal is a matter of some controversy.  Although it is indeed possible to write programs for the Java platform that behave consistently across many host platforms, the large number of available platforms with small errors or inconsistencies led some to parody Sun's ""Write once, run anywhere"" slogan as ""Write once, debug everywhere"".
",Platform dependence[edit],plain_text
96,,Standardization[edit],
97,"C++ was built atop the C language and as a result divergent ways of doing the same thing manifested around the language. For instance, creating an object could be done in three different ways in C++. Furthermore, C++ did not come with a standard library bundled with its compilers. Instead, it relied on resources created by other programmers; code which rarely fit together.
",Standardization[edit],plain_text
98,"In Java, standardized libraries are provided to allow access to features of the host machines (such as graphics and networking) in unified ways. The Java language also includes support for multi-threaded programs—a necessity for many networking applications.
",Standardization[edit],plain_text
99,"Platform independent Java is, however, very successful with server side applications, such as web services, servlets, or Enterprise JavaBeans.
",Standardization[edit],plain_text
100,"Java also made progress on the client side, first it had Abstract Window Toolkit (AWT), then Swing, and the most recent client side library is the Standard Widget Toolkit (SWT).
It is interesting to see how they tried to handle the two opposing consuming forces. Those are :
",Standardization[edit],plain_text
101,"It is interesting to see how the approach was switched back and forth. AWT → Swing → SWT.

",Standardization[edit],plain_text
102,,Secure execution[edit],
103,"With the high-level of control built into the language to manipulate hardware, a C/C++ programmer could access almost any resource, either hardware or software on the system. This was intended to be one of the languages' strong points, but this very flexibility led to confusion and complex programming practices.
",Secure execution[edit],plain_text
104,,Error handling[edit],
105,"The old way of error handling was to let each function return an error code then let the caller check what was returned. The problem with this method was that if the return code was full of error-checking codes, this got in the way of the original one that was doing the actual work, which in turn did not make it very readable.
",Error handling[edit],plain_text
106,"In the new way of error handling, functions/methods do not return error codes. Instead, when there is an error, an exception is thrown. The exceptions can be handled by the catch keyword at the end of a try block.  This way, the code that is calling the function does not need to be mangled with error checking codes, thus making the code more readable. This new way of error handling is called Exception handling.
",Error handling[edit],plain_text
107,"Exception handling was also added to C++. However, there are two differences between Java and C++ Exception handling:
",Error handling[edit],plain_text
108,"In Java, the exception that is thrown is a Java object like any other object in Java. It only has to implement Throwable interface.
In Java, the compiler checks whether an exception may be caught or not. The compiler gives an error if there is no catch block for a thrown exception.",Error handling[edit],plain_text
109,"The optional exception handling in the Java predecessors leads the developers not to care about the error handling. As a consequence, unexpected errors often occur. Java forces the developers to handle exceptions. The programmer must handle exception or declare that the user must handle it. Someone must handle it.
",Error handling[edit],plain_text
110,,Networking capabilities[edit],
111,"However powerful, the predecessors of Java lacked a standard feature to network with other computers, and usually relied on the platforms' intricate networking capabilities. With almost all network protocols being standardized, the creators of Java technology wanted this to be a flagship feature of the language while keeping true to the spirit of earlier advances made towards standardizing Remote Procedure Call. Another feature that the Java team focused on was its integration in the World Wide Web and the Internet.
",Networking capabilities[edit],plain_text
112,"The Java platform was one of the first systems to provide wide support for the execution of code from remote sources. The Java language was designed with network computing in mind.
",Networking capabilities[edit],plain_text
113,"An applet could run within a user's browser, executing code downloaded from a remote HTTP server. The remote code runs in a highly restricted ""sandbox"", which protects the user from misbehaving or malicious code; publishers could apply for a certificate that they could use to digitally sign applets as ""safe"", giving them permission to break out of the sandbox and access the local file system and network, presumably under user control.
",Networking capabilities[edit],plain_text
114,,Dynamic class loading[edit],
115,"In conventional languages like C and C++, all code had to be compiled and linked to one executable program, before execution. In Java, classes are compiled as needed. If a class is not needed during an execution phase, that class is not even compiled into byte code.
",Dynamic class loading[edit],plain_text
116,"This feature comes in handy especially in network programming when we do not know, beforehand, what code will be executed. A running program could load classes from the file system or from a remote server.
",Dynamic class loading[edit],plain_text
117,"Also this feature makes it theoretically possible for a Java program to alter its own code during execution, in order to do some self-learning behavior. It would be more realistic to imagine, however, that a Java program would generate Java code before execution, and then, that code would be executed. With some feedback mechanism, the generated code could improve over time.
",Dynamic class loading[edit],plain_text
118,,Automatic memory garbage collection[edit],
119,"In conventional languages like C and C++, the programmer has to make sure that all memory that was allocated is freed. Memory leaks became a regular nuisance in instances where the programmers had to manually allocate the system's memory resources.
",Automatic memory garbage collection[edit],plain_text
120,"Memory resources or buffers have specific modes of operation for optimal performance. Once a buffer is filled with data, it needs to be cleaned up after there is no further use for its content. If a programmer forgets to clean it in his/her code, the memory is easily overloaded. Programming in C/C++ languages became tedious and unsafe because of these very quirks, and programs built in these languages were prone to memory leakages and sudden system crashes — sometimes even harming the hardware itself. Freeing memory is particularly important in servers, since it has to run without stopping for days. If a piece of memory is not freed after use and the server just keeps allocating memory, that memory leak can take down the server.
",Automatic memory garbage collection[edit],plain_text
121,"In Java, freeing up memory is taken out of the programmers hands; the Java Virtual Machine keeps track of all used memory. When memory is not used any more it is automatically freed up. A separate task is running in the background by the JVM, freeing up unreferenced, unused memory. That task is called the Garbage Collector.
",Automatic memory garbage collection[edit],plain_text
122,"The Garbage Collector is always running. This automatic memory garbage collection feature makes it easy to write robust server side programs in Java. The only thing the programmer has to watch for is the speed of object creation. If the application is creating objects faster than the Garbage Collector can free them, it can cause memory problems. Depending on how the JVM is configured, the application either can run out of memory by throwing the NotEnoughMemoryException, or can halt to give time for the Garbage Collector to do its job.
",Automatic memory garbage collection[edit],plain_text
123,,Applet[edit],
124,"The Java creators created the concept of the applet. A Java program can be run in a client browser program. Java was released in 1995; the time when the Internet was becoming more available and familiar to the general public. The promise of Java was in the client browser-side in that code would be downloaded and executed as a Java applet in the client browser program.
",Applet[edit],plain_text
125,,Forbidden bad practices[edit],
126,"Over the years, some features in C/C++ programming became abused by the programmers. Although the language allows it, it was known as bad practices. So the creators of Java have disabled them:
",Forbidden bad practices[edit],plain_text
127,"Operator overloading
Multiple inheritance
Friend classes (access another object's private members)
Restrictions of explicit type casting (related to memory management)",Forbidden bad practices[edit],plain_text
128,,Evaluation[edit],
129,"In most people's opinions, Java technology delivers reasonably well on all these goals. The language is not, however, without drawbacks. Java tends to be more high-level than similar languages (such as C++), which means that the Java language lacks features such as hardware-specific data types, low-level pointers to arbitrary memory addresses, or programming methods like operator overloading. Although these features are frequently abused or misused by programmers, they are also powerful tools. However, Java technology includes Java Native Interface (JNI), a way to call native code from Java language code. With JNI, it is still possible to use some of these features.
",Evaluation[edit],plain_text
130,"Some programmers also complain about its lack of multiple inheritance, a powerful feature of several object-oriented languages, among others C++. The Java language separates inheritance of type and implementation, allowing inheritance of multiple type definitions through interfaces, but only single inheritance of type implementation via class hierarchies. This allows most of the benefits of multiple inheritance while avoiding many of its dangers. In addition, through the use of concrete classes, abstract classes, as well as interfaces, a Java language programmer has the option of choosing full, partial, or zero implementation for the object type he defines, thus ensuring maximum flexibility in application design.
",Evaluation[edit],plain_text
131,"There are some who believe that for certain projects, object orientation makes work harder instead of easier. This particular complaint is not unique to the Java language but applies to other object-oriented languages as well.
",Evaluation[edit],plain_text
132,"The Java platform is the name given to the computing platform from Oracle that helps users to run and develop Java applications. The platform does not just enable a user to run and develop a Java application, but also features a wide variety of tools that can help developers work efficiently with the Java programming language.
",The Java platform (JRE & JDK),plain_text
133,"The platform consists of two essential pieces of software:
",The Java platform (JRE & JDK),plain_text
134,"the Java Runtime Environment (JRE), which is needed to run Java applications and applets; and,
the Java Development Kit (JDK), which is needed to develop those Java applications and applets. If you have installed the JDK, you should know that it comes equipped with a JRE as well. So, for all the purposes of this book, you would only require the JDK.",The Java platform (JRE & JDK),plain_text
135,"In this section, we will explore in further detail what these two software components of the Java platform do.
",The Java platform (JRE & JDK),plain_text
136,,Java Runtime Environment (JRE)[edit],
137,"Any piece of code written in the Java programming language can be run on any operating system, platform or architecture — in fact, it can be run on any device that supports the Java platform. Before Java, this amount of ubiquity was very hard to achieve. If a software was written for a Unix-based system, it was impossible to run the same application on a Windows system — in this case, the application was native only to Unix-based systems.
",Java Runtime Environment (JRE)[edit],plain_text
138,"A major milestone in the development of the Java programming language was to develop a special runtime environment that would execute any Java application independent of the computer's operating system, platform or architecture.
",Java Runtime Environment (JRE)[edit],plain_text
139,"The Java Runtime Environment (JRE) sits on top of the machine's operating system, platform and architecture. If and when a Java application is run, the JRE acts as a liaison between the underlying platform and that application. It interprets the Java application to run in accordance with the underlying platform, such that upon running the application, it looks and behaves like a native application. The part of the JRE that accomplishes this complex liaison agreement is called the Java Virtual Machine (JVM).
",Java Runtime Environment (JRE)[edit],plain_text
140,"
",Java Runtime Environment (JRE)[edit],plain_text
141,"
",Java Runtime Environment (JRE)[edit],plain_text
142,"Native Java applications are preserved in a special format called the byte-code. Byte-code remains the same, no matter what hardware architecture, operating system, or software platform it is running under. On a file-system, Java byte-code resides in files that have the .class (also known as a class file) or the .jar (also known as a Java archive) extension. To run byte-code, the JRE comes with a special tool (appropriately named java).
",Java Runtime Environment (JRE)[edit],plain_text
143,"Suppose your byte-code is called SomeApplication.class. If you want to execute this Java byte-code, you would need to use the following command in Command Prompt (on Windows) or Terminal (on Linux or Mac OS):
",Java Runtime Environment (JRE)[edit],plain_text
144,"If you want to execute a Java byte-code with a .jar extension (say, SomeApplication.jar), you would need to use the following command in Command Prompt (on Windows) or Terminal (on Linux or Mac OS):
",Java Runtime Environment (JRE)[edit],plain_text
145,"Most computers come with a pre-installed copy of the JRE. If your computer doesn't have a JRE, then the above commands would not work. You can always check what version of the JRE is installed on the computer by writing the following command in Command Prompt (on Windows) or Terminal (on Linux or Mac OS):
",Java Runtime Environment (JRE)[edit],plain_text
146,"Quite possibly, the most important part of the JRE is the Java Virtual Machine (JVM). The JVM acts like a virtual processor, enabling Java applications to be run on the local system. Its main purpose is to interpret (read translate) the received byte-code and make it appear as native code. The older Java architecture used this process of interpretation to execute Java byte-code. Even though the process of interpretation brought the WORA principle to diverse machines, it had a drawback — it consumed a lot of time and clocked the system processor intensively to load an application.
",Java Runtime Environment (JRE)[edit],plain_text
147,"
",Java Runtime Environment (JRE)[edit],plain_text
148,"
",Java Runtime Environment (JRE)[edit],plain_text
